Sno,Api,Descriptions,Accrualtype_id,Cost,Costtype_id,Quantity,Discount,Cost_Categorytype_id,ResponseCode,ResponseText,ResponseMessage
1,AddCost,NS: Add Cost without accrualtype id,,1000,25114,10,2,0,200,null,OK
2,AddCost,NS: Add Cost without cost,2,,25114,10,2,0,200,null,OK
3,AddCost,NS: Add Cost without costtype id,2,1000,,10,2,0,200,null,OK
4,AddCost,NS: Add Cost without quantity,2,1000,25115,,2,0,200,null,OK
5,AddCost,NS: Add Cost without discount,2,1000,25115,10,,0,200,null,OK
6,AddCost,NS: Add Cost with incorrect accrualtype,abcd,1000,25115,10,2,0,200,null,OK
7,AddCost,NS: Add Cost with incorrect cost,2,abcd,25115,10,2,0,200,null,OK
8,AddCost,NS: Add Cost with incorrect costtype id,2,1000,abcd,10,2,0,200,null,OK
9,AddCost,NS: Add Cost with incorrect quantity,2,1000,25115,abcd,2,0,200,null,OK
10,AddCost,NS: Add Cost with incorrect discount,2,1000,25115,10,abcd,0,200,null,OK
11,AddCost,NS: Add Cost without data,,,,,,,200,null,OK
12,AddCost,NS: Add Cost with incorrect accrualtype,89,1000,25115,10,2,0,200,null,OK
13,AddCost,NS: Add Cost with incorrect costtype id,2,1000,2500,10,2,0,200,null,OK
14,AddCost,PS: Add Cost with valid data,1,1000,25114,10,2,0,200,value_prop_id,OK
15,EditCost,NS: Edit Cost without accrualtype id,,1000,25114,10,2,0,200,value_prop_id,OK
16,EditCost,NS: Edit Cost without cost,2,,25114,10,2,0,200,value_prop_id,OK
17,EditCost,NS: Edit Cost without costtype id,2,1000,,10,2,0,200,value_prop_id,OK
18,EditCost,NS: Edit Cost without quantity,2,1000,25115,,2,0,200,value_prop_id,OK
19,EditCost,NS: Edit Cost without discount,2,1000,25115,10,,0,200,value_prop_id,OK
20,EditCost,NS: Edit Cost with incorrect accrualtype,abcd,1000,25115,10,2,0,200,value_prop_id,OK
21,EditCost,NS: Edit Cost with incorrect cost,2,abcd,25115,10,2,0,200,value_prop_id,OK
22,EditCost,NS: Edit Cost with incorrect costtype id,2,1000,abcd,10,2,0,200,value_prop_id,OK
23,EditCost,NS: Edit Cost with incorrect quantity,2,1000,25115,abcd,2,0,200,value_prop_id,OK
24,EditCost,NS: Edit Cost with incorrect discount,2,1000,25115,10,abcd,0,200,value_prop_id,OK
25,EditCost,NS: Edit Cost without data,,,,,,,200,value_prop_id,OK
26,EditCost,NS: Edit Cost with incorrect accrualtype,89,1000,25115,10,2,0,200,value_prop_id,OK
27,EditCost,NS: Edit Cost with incorrect costtype id,2,1000,2500,10,2,0,200,null,OK
28,EditCost,PS: Edit Cost with valid data,2,2000,25115,20,5,0,200,value_prop_id,OK
